ds,yhat,yhat_lower,yhat_upper
2023-07-01,4565.187896660956,4152.1765493346265,5001.1040261992075
2023-07-02,4290.942669546674,3860.476500579682,4717.882834425105
2023-07-03,4168.797359541608,3766.0645089836507,4607.607530631311
2023-07-04,3839.8659574412277,3429.262382732798,4246.069636498634
2023-07-05,3642.9611837208918,3232.0922489488566,4056.7666185469297
2023-07-06,3448.815386723038,3047.4606713708954,3877.719513277157
2023-07-07,3283.6648335069012,2876.213634509868,3697.4099863866054
2023-07-08,3126.573230934846,2723.2379925639525,3538.942810584197
2023-07-09,2963.0082632114913,2542.9691005614677,3405.0044724331033
2023-07-10,2984.1169831299126,2588.9536972434166,3400.825590923321
2023-07-11,2828.842703902497,2428.7723303354483,3240.0002392247206
2023-07-12,2833.0325384596463,2432.491988996397,3251.54167156722
2023-07-13,2863.7150101398042,2440.3126936228878,3267.006873818728
2023-07-14,2942.7613786941774,2535.4745461618018,3407.1999982120437
2023-07-15,3044.30482891488,2606.8286523399042,3469.1360066576535
2023-07-16,3148.429089213633,2745.3174115806814,3580.2844223837433
2023-07-17,3440.5696231050524,3019.653496078709,3897.2263817115527
2023-07-18,3553.7669377384364,3129.131162846029,3980.6052439629616
2023-07-19,3817.9177242769947,3407.393756691647,4244.160633762575
2023-07-20,4094.1995816841036,3668.376840570803,4487.862709238643
2023-07-21,4398.87915187557,3990.026015908143,4821.636170623862
2023-07-22,4700.873955795388,4300.401345924395,5125.049664243856
2023-07-23,4975.575702204378,4537.434665771195,5380.8295359719095
2023-07-24,5404.374582299632,5001.89642646219,5804.935073868818
2023-07-25,5617.0207301696855,5190.655201342312,6033.688877815297
2023-07-26,5940.9655593170955,5531.647785312893,6359.8973914061935
2023-07-27,6235.856166572753,5786.375806155828,6645.287835084584
2023-07-28,6517.390589238616,6067.597286976831,6933.419660939992
2023-07-29,6754.902741017481,6339.627970827729,7185.8524990006235
2023-07-30,6925.183957719255,6494.297688085688,7358.3023408533445
